From	To	Species	Gene Name
AT3G53480	824516	Arabidopsis thaliana	pleiotropic drug resistance 9(ABCG37)
AT3G47780	823932	Arabidopsis thaliana	ABC2 homolog 6(ABCA7)
AT1G66950	843013	Arabidopsis thaliana	pleiotropic drug resistance 11(ABCG39)
AT5G03910	830269	Arabidopsis thaliana	ABC2 homolog 12(ABCB29)
AT1G51460	841571	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG13)
AT3G55090	824675	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG16)
AT3G13220	820512	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG26)
AT5G61730	836295	Arabidopsis thaliana	ABC2 homolog 11(ABCA9)
AT2G39350	818520	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG1)
AT2G41700	818768	Arabidopsis thaliana	ATP-binding cassette A1(ABCA1)
AT2G36910	818265	Arabidopsis thaliana	ATP binding cassette subfamily B1(ABCB1)
AT5G60740	836195	Arabidopsis thaliana	ABC transporter family protein(ABCG28)
AT4G01820	826951	Arabidopsis thaliana	P-glycoprotein 3(ABCB3)
AT1G32500	840144	Arabidopsis thaliana	non-intrinsic ABC protein 6(ABCI7)
AT1G53270	841761	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG10)
AT3G62150	825388	Arabidopsis thaliana	P-glycoprotein 21(ABCB21)
AT3G21090	821661	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG15)
AT1G04120	839277	Arabidopsis thaliana	multidrug resistance-associated protein 5(ABCC5)
AT5G46540	834697	Arabidopsis thaliana	P-glycoprotein 7(ABCB7)
AT1G02520	839353	Arabidopsis thaliana	P-glycoprotein 11(ABCB11)
AT2G29940	817544	Arabidopsis thaliana	pleiotropic drug resistance 3(ABCG31)
AT3G47790	823933	Arabidopsis thaliana	ABC2 homolog 7(ABCA8)
AT3G53510	824519	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG20)
AT4G15233	827188	Arabidopsis thaliana	ABC-2 and Plant PDR ABC-type transporter family protein(ABCG42)
AT4G19210	827661	Arabidopsis thaliana	RNAse l inhibitor protein 2(ABCE2)
