From	To	Species	Gene Name
AT3G62510	825425	Arabidopsis thaliana	disulfide isomerase-like protein(AT3G62510)
AT3G63095	5008106	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G63095)
AT5G59320	836051	Arabidopsis thaliana	lipid transfer protein 3(LTP3)
AT3G47160	823869	Arabidopsis thaliana	RING/U-box superfamily protein(AT3G47160)
AT2G38540	818436	Arabidopsis thaliana	lipid transfer protein 1(LP1)
AT2G13295	5007871	Arabidopsis thaliana	protease inhibitor/seed storage/lipid transfer family protein(AT2G13295)
AT2G48130	819425	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G48130)
AT3G58550	825024	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G58550)
AT3G22580	821830	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22580)
AT2G27130	817255	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G27130)
AT4G22666	3770028	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22666)
AT3G25010	822092	Arabidopsis thaliana	receptor like protein 41(RLP41)
AT3G51600	824323	Arabidopsis thaliana	lipid transfer protein 5(LTP5)
AT5G26015	5008227	Arabidopsis thaliana	miscRNA(AT5G26015)
AT4G15160	827182	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G15160)
AT4G12825	5008135	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G12825)
AT3G20470	3768804	Arabidopsis thaliana	glycine-rich protein 5(GRP5)
AT2G15050	815994	Arabidopsis thaliana	lipid transfer protein(LTP)
AT3G23490	821930	Arabidopsis thaliana	cyanase(CYN)
AT1G18280	838408	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G18280)
AT5G55420	835635	Arabidopsis thaliana	miscRNA(AT5G55420)
AT2G38530	818435	Arabidopsis thaliana	lipid transfer protein 2(LTP2)
AT4G22517	5008159	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22517)
AT2G48140	819426	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(EDA4)
AT5G44265	5008293	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G44265)
AT1G05450	837046	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G05450)
AT4G12360	826845	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G12360)
AT3G43720	823481	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(LTPG2)
AT4G22650	828361	Arabidopsis thaliana	lipid transfer protein(AT4G22650)
AT4G14805	827136	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G14805)
AT4G22513	5008158	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22513)
AT3G20430	821588	Arabidopsis thaliana	phosphorylated adapter RNA export-like protein(AT3G20430)
AT4G33355	829472	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G33355)
AT2G44290	819037	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G44290)
AT1G03103	2745739	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G03103)
AT3G22570	821829	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22570)
AT5G55460	835639	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G55460)
AT5G38197	5008283	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G38197)
AT3G22600	821832	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22600)
AT1G73550	843689	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73550)
AT1G21360	838735	Arabidopsis thaliana	glycolipid transfer protein 2(GLTP2)
AT1G55260	841970	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G55260)
AT1G70250	843361	Arabidopsis thaliana	receptor serine/threonine kinase(AT1G70250)
AT5G62065	5008322	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G62065)
AT5G13900	831237	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G13900)
AT3G23645	5008026	Arabidopsis thaliana	miscRNA(AT3G23645)
AT4G22640	828360	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22640)
AT2G44300	819038	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G44300)
AT1G27950	839688	Arabidopsis thaliana	glycosylphosphatidylinositol-anchored lipid protein transfer 1(LTPG1)
AT3G20460	821591	Arabidopsis thaliana	Major facilitator superfamily protein(AT3G20460)
AT4G22485	5008156	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22485)
AT2G16592	5007881	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G16592)
AT4G14815	827138	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G14815)
AT3G51590	824322	Arabidopsis thaliana	lipid transfer protein 12(LTP12)
AT4G08670	826433	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G08670)
AT2G16594	5007882	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G16594)
AT3G11825	5007992	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G11825)
AT3G18845	5008011	Arabidopsis thaliana	miscRNA(AT3G18845)
AT3G61440	825317	Arabidopsis thaliana	cysteine synthase C1(CYSC1)
AT4G08530	826412	Arabidopsis thaliana	non-specific lipid-transfer-like protein(AT4G08530)
AT4G39670	830121	Arabidopsis thaliana	Glycolipid transfer protein (GLTP) family protein(AT4G39670)
AT5G55450	835638	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G55450)
AT1G73560	843690	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73560)
AT5G35010	833446	Arabidopsis thaliana	hypothetical protein(AT5G35010)
AT3G59455	5008095	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G59455)
AT3G22620	821833	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22620)
AT4G22630	828359	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22630)
AT1G36150	840520	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G36150)
AT1G07747	5007672	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G07747)
AT3G23270	821906	Arabidopsis thaliana	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein(AT3G23270)
AT2G33470	817912	Arabidopsis thaliana	glycolipid transfer protein 1(GLTP1)
AT3G26380	822242	Arabidopsis thaliana	Melibiase family protein(AT3G26380)
AT3G08770	820024	Arabidopsis thaliana	lipid transfer protein 6(LTP6)
AT3G20450	821590	Arabidopsis thaliana	B-cell receptor-associated protein 31-like protein(AT3G20450)
AT5G09370	830796	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G09370)
