From	To	Species	Gene Name
824675	AT3G55090	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG16)
818520	AT2G39350	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG1)
828702	AT4G25960	Arabidopsis thaliana	P-glycoprotein 2(ABCB2)
824677	AT3G55110	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG18)
836195	AT5G60740	Arabidopsis thaliana	ABC transporter family protein(ABCG28)
841571	AT1G51460	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG13)
823932	AT3G47780	Arabidopsis thaliana	ABC2 homolog 6(ABCA7)
841575	AT1G51500	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG12)
841761	AT1G53270	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG10)
817232	AT2G26910	Arabidopsis thaliana	pleiotropic drug resistance 4(ABCG32)
818307	AT2G37300	Arabidopsis thaliana	transmembrane protein(ABCI16)
820881	AT3G16340	Arabidopsis thaliana	pleiotropic drug resistance 1(ABCG29)
838363	AT1G17840	Arabidopsis thaliana	white-brown complex-like protein(ABCG11)
824519	AT3G53510	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG20)
831202	AT5G13580	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG6)
820498	AT3G13100	Arabidopsis thaliana	multidrug resistance-associated protein 7(ABCC7)
832061	AT5G19410	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG23)
818312	AT2G37360	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG2)
