From	To	Species	Gene Name
818435	AT2G38530	Arabidopsis thaliana	lipid transfer protein 2(LTP2)
818436	AT2G38540	Arabidopsis thaliana	lipid transfer protein 1(LP1)
837046	AT1G05450	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G05450)
831237	AT5G13900	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G13900)
819038	AT2G44300	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G44300)
821833	AT3G22620	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G22620)
825024	AT3G58550	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT3G58550)
815994	AT2G15050	Arabidopsis thaliana	lipid transfer protein(LTP)
841970	AT1G55260	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G55260)
819426	AT2G48140	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(EDA4)
840520	AT1G36150	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G36150)
830121	AT4G39670	Arabidopsis thaliana	Glycolipid transfer protein (GLTP) family protein(AT4G39670)
839688	AT1G27950	Arabidopsis thaliana	glycosylphosphatidylinositol-anchored lipid protein transfer 1(LTPG1)
820024	AT3G08770	Arabidopsis thaliana	lipid transfer protein 6(LTP6)
819425	AT2G48130	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G48130)
816352	AT2G18370	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT2G18370)
823481	AT3G43720	Arabidopsis thaliana	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(LTPG2)
